CustomerID,Gender,Age,Annual Income (k$),Spending Score (1-100)
377,Male,46,66.8,59
378,Male,52,102.9,24
379,Male,49,99.2,86
380,Male,70,87.3,25
381,Female,57,50.5,44
382,Male,24,34.1,28
383,Female,21,35.4,78
384,Female,39,86.9,80
385,Male,45,25.7,23
386,Female,53,102.9,79
387,Male,43,97.5,13
388,Male,45,28.2,80
389,Male,66,89.8,18
390,Male,35,23.7,20
391,Male,44,107.4,81
392,Female,47,93.3,67
393,Male,42,53.7,48
394,Female,69,20.2,90
395,Female,68,58.8,59
396,Female,45,25.4,80
397,Female,41,59.4,50
398,Male,49,37.0,64
399,Female,27,81.0,78
400,Male,40,95.1,25
401,Male,29,63.3,47
402,Male,25,102.1,89
403,Male,23,26.3,87
404,Female,49,61.9,46
405,Female,18,29.9,23
406,Male,52,95.0,92
407,Male,40,77.8,72
408,Male,37,16.7,77
409,Female,58,58.2,39
410,Female,46,88.1,76
411,Female,56,77.2,63
412,Female,55,22.1,19
413,Female,19,52.0,37
414,Male,29,94.2,75
415,Female,48,59.4,39
416,Male,69,54.7,51
417,Male,26,97.6,85
418,Male,23,50.8,56
419,Female,67,19.4,26
420,Female,69,24.9,70
421,Male,26,22.8,25
422,Female,39,64.3,49
423,Male,51,105.7,27
424,Male,28,93.2,25
425,Female,35,38.5,94
426,Male,38,51.4,44
427,Female,52,70.4,43
428,Female,34,50.7,47
429,Male,39,62.9,49
430,Male,33,55.4,45
431,Female,58,90.0,76
432,Male,26,41.0,82
433,Male,30,101.2,17
434,Male,31,23.7,75
435,Female,66,76.4,10
436,Female,68,12.3,6
437,Male,44,16.6,89
438,Male,26,94.7,91
439,Male,58,27.9,27
440,Female,44,18.7,26
441,Female,63,30.1,18
442,Male,37,63.9,54
443,Female,70,91.2,12
444,Female,60,51.7,51
445,Male,29,97.3,14
446,Male,56,60.2,54
447,Female,33,29.3,33
448,Female,36,68.9,43
449,Female,31,71.8,46
450,Male,54,102.3,82
451,Female,31,92.1,7
452,Male,51,23.8,11
453,Female,48,66.8,61
454,Male,57,19.4,24
455,Male,70,54.9,46
456,Male,18,30.4,80
457,Male,70,107.2,79
458,Male,23,67.0,51
459,Female,45,30.6,19
460,Male,36,59.7,49
461,Male,51,19.1,85
462,Male,56,29.6,84
463,Female,63,35.8,32
464,Male,39,22.4,25
465,Female,67,20.6,22
466,Male,35,20.8,91
467,Male,28,27.5,20
468,Female,38,103.4,67
469,Male,46,10.9,86
470,Male,53,95.4,84
471,Female,62,85.7,20
472,Female,29,39.0,28
473,Female,34,96.2,17
474,Male,67,57.2,35
475,Male,41,96.8,88
476,Male,30,14.0,75
477,Male,70,51.9,43
478,Male,41,25.4,7
479,Female,70,99.3,87
480,Female,66,23.2,5
481,Female,66,18.0,89
482,Female,48,10.0,78
483,Male,60,51.7,56
484,Female,68,20.3,25
485,Female,32,99.0,33
486,Female,20,23.6,25
487,Female,35,84.6,28
488,Female,51,89.7,16
489,Female,47,59.8,39
490,Male,22,26.6,87
491,Female,47,62.1,39
492,Female,27,24.1,85
493,Female,44,81.9,74
494,Male,48,31.1,82
495,Male,51,97.9,95
496,Male,39,28.3,85
497,Male,39,79.0,49
498,Male,53,89.4,85
499,Male,57,28.1,76
500,Female,60,17.8,96
